speciesid	SRR6154999	SRR6155000	SRR6155001	SRR6155002	SRR6155003	SRR6155004	SRR6155005	SRR6155006	SRR6155007	SRR6155008	SRR6155009	SRR6155010	SRR6155011	SRR6155012	SRR6155013	SRR5947117	SRR5947118	SRR5947119	SRR5947120	SRR5947121	SRR5947122	SRR5947123	SRR5947124	SRR5947125	SRR5947126	SRR5947127	SRR5947128	SRR5947129	SRR5947130	SRR5947131
125707	313015	40531	20877	219116	354015	33991	47543	37258	17758	101286	62588	123984	69052	132168	77674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131092	68790	25396	52220	139471	71188	39410	42158	44029	49851	27198	190327	88826	128369	65393	107194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110029	41133	31106	27469	56740	26266	66365	80697	679227	826513	19421	208288	243053	112885	74940	131089	11376	27862	14411	5900	11698	7819	4447	22391	30819	12709	14410	33261	22692	31814	26437
147157	28019	66568	54992	21992	12653	16135	20980	25554	28286	32059	133248	37501	62481	110328	41779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143821	24188	6039	123851	20465	22749	99258	36708	61774	5142	22229	26363	119732	64932	110370	163236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141361	7715	3608	2867	10782	5151	2900	6400	4355	6275	2428	49782	13732	26786	5404	9813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117660	4650	3116	3615	5280	4440	3034	3391	4011	4072	2577	14797	6214	8230	4898	6113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112532	3618	1775	1674	4201	2848	1518	2532	3109	3393	1509	13630	5086	7669	2611	5091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
145047	3516	2038	2601	4865	3458	2815	2518	3483	3257	2189	7811	5339	5101	3745	8791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103966	3280	1695	1570	4288	2240	1629	2495	1998	2212	1314	16463	5435	9189	2495	4931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
118223	2898	1925	1909	3703	2741	2034	2600	3084	3373	1779	11454	4882	6304	3150	5454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
144163	2884	1450	1152	3665	1856	1363	2247	2350	2674	1218	14725	4887	7954	1999	4109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107588	2176	1007	1344	2135	1920	1232	1271	1752	1786	963	5967	2963	3146	1670	4199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124193	8848	5097	6306	7478	7556	8433	7064	7576	8390	4923	12352	7408	7441	7504	9587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126657	2405	1395	1912	2261	1876	1899	1562	2160	2159	1083	4051	2583	2213	1941	3479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
144566	1850	1041	1004	1646	1717	942	1132	1597	1134	1334	2382	1768	1326	1421	2819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110130	712	518	628	575	594	477	467	749	578	414	1106	753	589	578	1625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
128116	676	517	541	569	513	442	434	714	505	418	941	585	575	526	1234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106515	852	652	668	720	811	505	525	867	757	476	1223	777	697	606	1010	13	20	28	19	0	0	21	44	69	14	0	24	30	20	31
129933	421	222	310	408	348	276	246	462	376	281	630	425	366	360	739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105680	408	425	288	435	757	256	389	503	418	243	632	556	400	952	786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111280	257	245	223	265	288	221	163	299	216	201	446	353	264	253	648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
146918	127883	263058	30804	125398	300715	118208	281203	58405	112326	123770	182289	78680	66696	52357	106676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
119956	46148	25785	19778	61840	65798	56111	36319	34896	68902	41228	104935	79863	65754	69926	62038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122879	37846	230106	15736	88142	710971	99105	143754	50279	105437	45739	86627	369513	79684	66384	339610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112163	14185	21830	182491	15746	103962	96379	6792	35882	62234	7128	95498	72662	11237	305365	61247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113356	13879	4952	3787	24689	10149	20553	10923	9556	24938	16318	40419	24838	23617	23314	18276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106783	14761	15325	13776	19816	24526	21351	27437	22292	62193	19078	30408	18344	14556	16915	18230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
120322	18514	41134	14665	28895	33343	38703	145614	192362	61529	68245	42841	26833	26774	66932	21137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142728	10383	96604	29412	12827	53303	131647	20134	51081	115309	41734	18364	10702	9771	94963	11518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
