sampleid	habitat	dataset
OSU-SMS-16S-1_S1_L001_R1_001.fastq.gz	container	mosquitoes
OSU-SMS-16S-10_S10_L001_R1_001.fastq.gz	container	mosquitoes
OSU-SMS-16S-11_S11_L001_R1_001.fastq.gz	container	mosquitoes
OSU-SMS-16S-12_S12_L001_R1_001.fastq.gz	container	mosquitoes
OSU-SMS-16S-13_S13_L001_R1_001.fastq.gz	container	mosquitoes
OSU-SMS-16S-14_S14_L001_R1_001.fastq.gz	container	mosquitoes
OSU-SMS-16S-15_S15_L001_R1_001.fastq.gz	container	mosquitoes
OSU-SMS-16S-16_S16_L001_R1_001.fastq.gz	container	mosquitoes
OSU-SMS-16S-17_S17_L001_R1_001.fastq.gz	container	mosquitoes
OSU-SMS-16S-18_S18_L001_R1_001.fastq.gz	container	mosquitoes
OSU-SMS-16S-19_S19_L001_R1_001.fastq.gz	container	mosquitoes
OSU-SMS-16S-2_S2_L001_R1_001.fastq.gz	container	mosquitoes
OSU-SMS-16S-20_S20_L001_R1_001.fastq.gz	container	mosquitoes
OSU-SMS-16S-21_S21_L001_R1_001.fastq.gz	container	mosquitoes
OSU-SMS-16S-22_S22_L001_R1_001.fastq.gz	container	mosquitoes
OSU-SMS-16S-23_S23_L001_R1_001.fastq.gz	floodwater	mosquitoes
OSU-SMS-16S-24_S24_L001_R1_001.fastq.gz	floodwater	mosquitoes
OSU-SMS-16S-25_S25_L001_R1_001.fastq.gz	floodwater	mosquitoes
OSU-SMS-16S-26_S26_L001_R1_001.fastq.gz	floodwater	mosquitoes
OSU-SMS-16S-27_S27_L001_R1_001.fastq.gz	floodwater	mosquitoes
OSU-SMS-16S-28_S28_L001_R1_001.fastq.gz	floodwater	mosquitoes
OSU-SMS-16S-29_S29_L001_R1_001.fastq.gz	floodwater	mosquitoes
OSU-SMS-16S-3_S3_L001_R1_001.fastq.gz	container	mosquitoes
OSU-SMS-16S-30_S30_L001_R1_001.fastq.gz	floodwater	mosquitoes
OSU-SMS-16S-31_S31_L001_R1_001.fastq.gz	floodwater	mosquitoes
OSU-SMS-16S-32_S32_L001_R1_001.fastq.gz	floodwater	mosquitoes
OSU-SMS-16S-33_S33_L001_R1_001.fastq.gz	floodwater	mosquitoes
OSU-SMS-16S-34_S34_L001_R1_001.fastq.gz	floodwater	mosquitoes
OSU-SMS-16S-35_S35_L001_R1_001.fastq.gz	floodwater	mosquitoes
OSU-SMS-16S-36_S36_L001_R1_001.fastq.gz	floodwater	mosquitoes
OSU-SMS-16S-37_S37_L001_R1_001.fastq.gz	floodwater	mosquitoes
OSU-SMS-16S-38_S38_L001_R1_001.fastq.gz	floodwater	mosquitoes
OSU-SMS-16S-39_S39_L001_R1_001.fastq.gz	floodwater	mosquitoes
OSU-SMS-16S-4_S4_L001_R1_001.fastq.gz	container	mosquitoes
OSU-SMS-16S-40_S40_L001_R1_001.fastq.gz	floodwater	mosquitoes
OSU-SMS-16S-41_S41_L001_R1_001.fastq.gz	floodwater	mosquitoes
OSU-SMS-16S-42_S42_L001_R1_001.fastq.gz	floodwater	mosquitoes
OSU-SMS-16S-43_S43_L001_R1_001.fastq.gz	floodwater	mosquitoes
OSU-SMS-16S-44_S44_L001_R1_001.fastq.gz	floodwater	mosquitoes
OSU-SMS-16S-45_S45_L001_R1_001.fastq.gz	floodwater	mosquitoes
OSU-SMS-16S-46_S46_L001_R1_001.fastq.gz	floodwater	mosquitoes
OSU-SMS-16S-5_S5_L001_R1_001.fastq.gz	container	mosquitoes
OSU-SMS-16S-6_S6_L001_R1_001.fastq.gz	container	mosquitoes
OSU-SMS-16S-7_S7_L001_R1_001.fastq.gz	container	mosquitoes
OSU-SMS-16S-8_S8_L001_R1_001.fastq.gz	container	mosquitoes
OSU-SMS-16S-9_S9_L001_R1_001.fastq.gz	container	mosquitoes
