sampleid	env	dataset
SRR5947117	control	mice_study_IF
SRR5947123	control	mice_study_IF
SRR6155001	control	mice_study_IF
SRR6155003	control	mice_study_IF
SRR6155007	control	mice_study_IF
SRR6155000	control	mice_study_IF
SRR6155008	control	mice_study_IF
SRR5947118	control	mice_study_IF
SRR5947121	control	mice_study_IF
SRR5947119	control	mice_study_IF
SRR5947120	control	mice_study_IF
SRR5947122	control	mice_study_IF
SRR5947130	control	mice_study_IF
SRR6155004	control	mice_study_IF
SRR6155005	control	mice_study_IF
SRR6155006	control	mice_study_IF
SRR5947125	test	mice_study_IF
SRR5947126	test	mice_study_IF
SRR6155002	test	mice_study_IF
SRR6154999	test	mice_study_IF
SRR6155010	test	mice_study_IF
SRR6155013	test	mice_study_IF
SRR5947124	test	mice_study_IF
SRR5947127	test	mice_study_IF
SRR5947128	test	mice_study_IF
SRR5947129	test	mice_study_IF
SRR5947131	test	mice_study_IF
SRR6155009	test	mice_study_IF
SRR6155011	test	mice_study_IF
SRR6155012	test	mice_study_IF
