env	sampleid	dataset
LF	ERR9468313	mice_study_mp
LF	ERR9468325	mice_study_mp
LF	ERR9468743	mice_study_mp
LF	ERR9468756	mice_study_mp
LF	ERR9468782	mice_study_mp
LF	ERR9469013	mice_study_mp
LF	ERR9469185	mice_study_mp
LF	ERR9469198	mice_study_mp
LF	ERR9469199	mice_study_mp
LF	ERR9469277	mice_study_mp
LF	ERR9469384	mice_study_mp
LF	ERR9469471	mice_study_mp
LF	ERR9469485	mice_study_mp
LF	ERR9469506	mice_study_mp
LF	ERR9469614	mice_study_mp
LF	ERR9469642	mice_study_mp
LF	ERR9470149	mice_study_mp
LF	ERR9470151	mice_study_mp
LF	ERR9470183	mice_study_mp
LF	ERR9470198	mice_study_mp
LF	ERR9470231	mice_study_mp
LF	ERR9474621	mice_study_mp
LF	ERR9486868	mice_study_mp
LF	ERR9486947	mice_study_mp
LF	ERR9486976	mice_study_mp
LF	ERR9487011	mice_study_mp
LF	ERR9487038	mice_study_mp
LF	ERR9487090	mice_study_mp
LF	ERR9487389	mice_study_mp
LF	ERR9487436	mice_study_mp
LF	ERR9487469	mice_study_mp
LF	ERR9487580	mice_study_mp
LF	ERR9487599	mice_study_mp
LF	ERR9487610	mice_study_mp
LF	ERR9487624	mice_study_mp
LF	ERR9487632	mice_study_mp
LF	ERR9487644	mice_study_mp
LF	ERR9487666	mice_study_mp
LF	ERR9488129	mice_study_mp
LF	ERR9488277	mice_study_mp
LF	ERR9488308	mice_study_mp
LF	ERR9488497	mice_study_mp
LF	ERR9488531	mice_study_mp
LF	ERR9488585	mice_study_mp
LF	ERR9488724	mice_study_mp
LF	ERR9488784	mice_study_mp
LF	ERR9488849	mice_study_mp
LF	ERR9488900	mice_study_mp
LF	ERR9488901	mice_study_mp
LF	ERR9488912	mice_study_mp
LF	ERR9489029	mice_study_mp
LF	ERR9489045	mice_study_mp
LF	ERR9489056	mice_study_mp
LF	ERR9489063	mice_study_mp
HF	ERR9489068	mice_study_mp
HF	ERR9489084	mice_study_mp
HF	ERR9489093	mice_study_mp
HF	ERR9489105	mice_study_mp
HF	ERR9489110	mice_study_mp
HF	ERR9489115	mice_study_mp
LF	ERR9489121	mice_study_mp
LF	ERR9489124	mice_study_mp
LF	ERR9489127	mice_study_mp
LF	ERR9489129	mice_study_mp
LF	ERR9489132	mice_study_mp
LF	ERR9489181	mice_study_mp
LF	ERR9497035	mice_study_mp
HF	ERR9514162	mice_study_mp
HF	ERR9514165	mice_study_mp
HF	ERR9514711	mice_study_mp
HF	ERR9514715	mice_study_mp
HF	ERR9516361	mice_study_mp
HF	ERR9516367	mice_study_mp
HF	ERR9516405	mice_study_mp
HF	ERR9516446	mice_study_mp
LF	ERR9517123	mice_study_mp
LF	ERR9521706	mice_study_mp
LF	ERR9521720	mice_study_mp
HF	ERR9521738	mice_study_mp
HF	ERR9521745	mice_study_mp
HF	ERR9521781	mice_study_mp
HF	ERR9521798	mice_study_mp
HF	ERR9521807	mice_study_mp
HF	ERR9521813	mice_study_mp
HF	ERR9521823	mice_study_mp
HF	ERR9521860	mice_study_mp
HF	ERR9521911	mice_study_mp
HF	ERR9521932	mice_study_mp
